"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Wind Onshore","5225.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Biomass","217.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Fossil Gas","4556.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Hydro Pumped Storage","509.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Hydro Run-of-river and poundage","849.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Hydro Water Reservoir","1683.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Marine","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Nuclear","7092.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Other","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Other renewable","72.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Solar","28.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Waste","243.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Wind Onshore","5381.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Biomass","211.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Fossil Gas","4500.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Hydro Pumped Storage","226.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Hydro Run-of-river and poundage","844.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Hydro Water Reservoir","1704.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Marine","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Nuclear","7092.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Other","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Other renewable","72.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Solar","34.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Waste","244.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Wind Onshore","5614.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Biomass","216.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Fossil Gas","4867.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Hydro Pumped Storage","123.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Hydro Run-of-river and poundage","859.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Hydro Water Reservoir","1646.00"
