 "MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
 "02/01/2024 17:30:00 - 02/01/2024 17:45:00","BZN|ES","31217.00","30896.00"
 "02/01/2024 17:45:00 - 02/01/2024 18:00:00","BZN|ES","31659.00","31088.00"
 "02/01/2024 18:00:00 - 02/01/2024 18:15:00","BZN|ES","32261.00","31644.00"
 "02/01/2024 18:15:00 - 02/01/2024 18:30:00","BZN|ES","32548.00","32016.00"
 "02/01/2024 18:30:00 - 02/01/2024 18:45:00","BZN|ES","32706.00","32408.00"
 "02/01/2024 18:45:00 - 02/01/2024 19:00:00","BZN|ES","32770.00","32648.00"
 "02/01/2024 19:00:00 - 02/01/2024 19:15:00","BZN|ES","32761.00","32868.00"
 "02/01/2024 19:15:00 - 02/01/2024 19:30:00","BZN|ES","32785.00","32860.00"
 "02/01/2024 19:30:00 - 02/01/2024 19:45:00","BZN|ES","32851.00","32668.00"
 "02/01/2024 19:45:00 - 02/01/2024 20:00:00","BZN|ES","32948.00","32860.00"
 "02/01/2024 20:00:00 - 02/01/2024 20:15:00","BZN|ES","33112.00","32968.00"
 "02/01/2024 20:15:00 - 02/01/2024 20:30:00","BZN|ES","33198.00","33096.00"
 "02/01/2024 20:30:00 - 02/01/2024 20:45:00","BZN|ES","33240.00","33340.00"
 "02/01/2024 20:45:00 - 02/01/2024 21:00:00","BZN|ES","33202.00","33556.00"
 "02/01/2024 21:00:00 - 02/01/2024 21:15:00","BZN|ES","33372.00","33700.00"
 "02/01/2024 21:15:00 - 02/01/2024 21:30:00","BZN|ES","33053.00","33456.00"
 "02/01/2024 21:30:00 - 02/01/2024 21:45:00","BZN|ES","32549.00","33172.00"
 "02/01/2024 21:45:00 - 02/01/2024 22:00:00","BZN|ES","31896.00","32608.00"
 "02/01/2024 22:00:00 - 02/01/2024 22:15:00","BZN|ES","31239.00","31972.00"
 "02/01/2024 22:15:00 - 02/01/2024 22:30:00","BZN|ES","30435.00","30920.00"
 "02/01/2024 22:30:00 - 02/01/2024 22:45:00","BZN|ES","29628.00","30272.00"
 "02/01/2024 22:45:00 - 02/01/2024 23:00:00","BZN|ES","28840.00","29588.00"
 "02/01/2024 23:00:00 - 02/01/2024 23:15:00","BZN|ES","28009.00","28756.00"
 "02/01/2024 23:15:00 - 02/01/2024 23:30:00","BZN|ES","27318.00","27896.00"
 "02/01/2024 23:30:00 - 02/01/2024 23:45:00","BZN|ES","26694.00","27236.00"
 "02/01/2024 23:45:00 - 03/01/2024 00:00:00","BZN|ES","26124.00","26500.00"
 "03/01/2024 00:00:00 - 03/01/2024 00:15:00","BZN|ES","25559.00","25768.00"
 "03/01/2024 00:15:00 - 03/01/2024 00:30:00","BZN|ES","25021.00","25356.00"
 "03/01/2024 00:30:00 - 03/01/2024 00:45:00","BZN|ES","24500.00","25068.00"
 "03/01/2024 00:45:00 - 03/01/2024 01:00:00","BZN|ES","24015.00","24472.00"
 "03/01/2024 01:00:00 - 03/01/2024 01:15:00","BZN|ES","23458.00","23884.00"
 "03/01/2024 01:15:00 - 03/01/2024 01:30:00","BZN|ES","23098.00","23448.00"
 "03/01/2024 01:30:00 - 03/01/2024 01:45:00","BZN|ES","22817.00","23048.00"
 "03/01/2024 01:45:00 - 03/01/2024 02:00:00","BZN|ES","22591.00","22544.00"
 "03/01/2024 02:00:00 - 03/01/2024 02:15:00","BZN|ES","22416.00","22192.00"
 "03/01/2024 02:15:00 - 03/01/2024 02:30:00","BZN|ES","22204.00","21964.00"
 "03/01/2024 02:30:00 - 03/01/2024 02:45:00","BZN|ES","21961.00","21640.00"
 "03/01/2024 02:45:00 - 03/01/2024 03:00:00","BZN|ES","21714.00","21532.00"
 "03/01/2024 03:00:00 - 03/01/2024 03:15:00","BZN|ES","21359.00","21308.00"
 "03/01/2024 03:15:00 - 03/01/2024 03:30:00","BZN|ES","21209.00","21172.00"
 "03/01/2024 03:30:00 - 03/01/2024 03:45:00","BZN|ES","21151.00","21212.00"
 "03/01/2024 03:45:00 - 03/01/2024 04:00:00","BZN|ES","21165.00","21056.00"
 "03/01/2024 04:00:00 - 03/01/2024 04:15:00","BZN|ES","21195.00","20892.00"
 "03/01/2024 04:15:00 - 03/01/2024 04:30:00","BZN|ES","21268.00","20840.00"
 "03/01/2024 04:30:00 - 03/01/2024 04:45:00","BZN|ES","21339.00","20956.00"
 "03/01/2024 04:45:00 - 03/01/2024 05:00:00","BZN|ES","21431.00","20956.00"
 "03/01/2024 05:00:00 - 03/01/2024 05:15:00","BZN|ES","21381.00","20972.00"
 "03/01/2024 05:15:00 - 03/01/2024 05:30:00","BZN|ES","21621.00","21220.00"
 "03/01/2024 05:30:00 - 03/01/2024 05:45:00","BZN|ES","21981.00","21440.00"
 "03/01/2024 05:45:00 - 03/01/2024 06:00:00","BZN|ES","22466.00","21568.00"
 "03/01/2024 06:00:00 - 03/01/2024 06:15:00","BZN|ES","22885.00","21972.00"
 "03/01/2024 06:15:00 - 03/01/2024 06:30:00","BZN|ES","23610.00","22908.00"
 "03/01/2024 06:30:00 - 03/01/2024 06:45:00","BZN|ES","24445.00","23448.00"
 "03/01/2024 06:45:00 - 03/01/2024 07:00:00","BZN|ES","25349.00","24152.00"
 "03/01/2024 07:00:00 - 03/01/2024 07:15:00","BZN|ES","26430.00","24888.00"
 "03/01/2024 07:15:00 - 03/01/2024 07:30:00","BZN|ES","27324.00","25936.00"
 "03/01/2024 07:30:00 - 03/01/2024 07:45:00","BZN|ES","28141.00","26684.00"
 "03/01/2024 07:45:00 - 03/01/2024 08:00:00","BZN|ES","28867.00","27284.00"
 "03/01/2024 08:00:00 - 03/01/2024 08:15:00","BZN|ES","29739.00","27872.00"
 "03/01/2024 08:15:00 - 03/01/2024 08:30:00","BZN|ES","30261.00","28856.00"
 "03/01/2024 08:30:00 - 03/01/2024 08:45:00","BZN|ES","30672.00","29384.00"
 "03/01/2024 08:45:00 - 03/01/2024 09:00:00","BZN|ES","30984.00","29812.00"
 "03/01/2024 09:00:00 - 03/01/2024 09:15:00","BZN|ES","31335.00","30180.00"
 "03/01/2024 09:15:00 - 03/01/2024 09:30:00","BZN|ES","31506.00","30724.00"
 "03/01/2024 09:30:00 - 03/01/2024 09:45:00","BZN|ES","31629.00","30936.00"
 "03/01/2024 09:45:00 - 03/01/2024 10:00:00","BZN|ES","31706.00","31136.00"
 "03/01/2024 10:00:00 - 03/01/2024 10:15:00","BZN|ES","31835.00","31440.00"
 "03/01/2024 10:15:00 - 03/01/2024 10:30:00","BZN|ES","31810.00","31500.00"
 "03/01/2024 10:30:00 - 03/01/2024 10:45:00","BZN|ES","31730.00","31636.00"
 "03/01/2024 10:45:00 - 03/01/2024 11:00:00","BZN|ES","31608.00","31696.00"
 "03/01/2024 11:00:00 - 03/01/2024 11:15:00","BZN|ES","31479.00","31716.00"
 "03/01/2024 11:15:00 - 03/01/2024 11:30:00","BZN|ES","31306.00","31604.00"
 "03/01/2024 11:30:00 - 03/01/2024 11:45:00","BZN|ES","31128.00","31260.00"
 "03/01/2024 11:45:00 - 03/01/2024 12:00:00","BZN|ES","30964.00","30840.00"
 "03/01/2024 12:00:00 - 03/01/2024 12:15:00","BZN|ES","30726.00","30688.00"
