"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|ES","Without sequence","97.53",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|ES","Without sequence","102.79",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|ES","Without sequence","108.28",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|ES","Without sequence","122.55",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|ES","Without sequence","120.75",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|ES","Without sequence","110.32",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|ES","Without sequence","107.67",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|ES","Without sequence","107.01",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|ES","Without sequence","106.48",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|ES","Without sequence","107.07",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|ES","Without sequence","114.75",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|ES","Without sequence","124.29",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|ES","Without sequence","137.35",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|ES","Without sequence","137.0",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|ES","Without sequence","138.95",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|ES","Without sequence","148.01",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|ES","Without sequence","130.0",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|ES","Without sequence","111.86",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|ES","Without sequence","106.11",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|ES","Without sequence","92.33",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|ES","Without sequence","90.12",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|ES","Without sequence","87.01",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|ES","Without sequence","85.8",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|ES","Without sequence","85.0",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|ES","Without sequence","86.3",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|ES","Without sequence","95.0",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|ES","Without sequence","103.94",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|ES","Without sequence","121.4",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|ES","Without sequence","121.4",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|ES","Without sequence","105.38",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|ES","Without sequence","102.97",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|ES","Without sequence","99.99",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|ES","Without sequence","98.5",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|ES","Without sequence","94.76",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|ES","Without sequence","94.73",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|ES","Without sequence","99.37",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|ES","Without sequence","102.7",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|ES","Without sequence","111.29",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|ES","Without sequence","121.4",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|ES","Without sequence","120.0",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|ES","Without sequence","107.71",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|ES","Without sequence","101.32",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|ES","Without sequence","92.68",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|ES","Without sequence","91.75",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|ES","Without sequence","86.18",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|ES","Without sequence","82.1",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|ES","Without sequence","80.0",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|ES","Without sequence","79.6",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|ES","Without sequence","81.1",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|ES","Without sequence","85.91",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|ES","Without sequence","102.05",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|ES","Without sequence","113.84",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|ES","Without sequence","110.0",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|ES","Without sequence","97.63",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|ES","Without sequence","86.18",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|ES","Without sequence","83.89",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|ES","Without sequence","82.18",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|ES","Without sequence","83.0",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|ES","Without sequence","85.0",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|ES","Without sequence","97.63",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|ES","Without sequence","118.5",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|ES","Without sequence","128.93",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|ES","Without sequence","132.31",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|ES","Without sequence","117.93",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|ES","Without sequence","108.33",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|ES","Without sequence","100.0",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|ES","Without sequence","93.26",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|ES","Without sequence","88.98",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|ES","Without sequence","86.45",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|ES","Without sequence","84.99",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|ES","Without sequence","83.0",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|ES","Without sequence","83.14",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|ES","Without sequence","85.0",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|ES","Without sequence","89.0",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|ES","Without sequence","102.77",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|ES","Without sequence","113.28",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|ES","Without sequence","105.0",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|ES","Without sequence","100.0",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|ES","Without sequence","94.58",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|ES","Without sequence","92.0",""
"12/01/2024 13:00:00 - 12/01/2024 14:00:00","BZN|ES","Without sequence","91.78",""
"12/01/2024 14:00:00 - 12/01/2024 15:00:00","BZN|ES","Without sequence","90.1",""
"12/01/2024 15:00:00 - 12/01/2024 16:00:00","BZN|ES","Without sequence","92.01",""
"12/01/2024 16:00:00 - 12/01/2024 17:00:00","BZN|ES","Without sequence","100.98",""
"12/01/2024 17:00:00 - 12/01/2024 18:00:00","BZN|ES","Without sequence","107.1",""
"12/01/2024 18:00:00 - 12/01/2024 19:00:00","BZN|ES","Without sequence","126.0",""
"12/01/2024 19:00:00 - 12/01/2024 20:00:00","BZN|ES","Without sequence","119.47",""
"12/01/2024 20:00:00 - 12/01/2024 21:00:00","BZN|ES","Without sequence","110.0",""
"12/01/2024 21:00:00 - 12/01/2024 22:00:00","BZN|ES","Without sequence","102.26",""
"12/01/2024 22:00:00 - 12/01/2024 23:00:00","BZN|ES","Without sequence","98.0",""
