"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"02.01.2024 18:15 - 02.01.2024 18:30","76.19","EUR"
"02.01.2024 18:30 - 02.01.2024 18:45","99.90","EUR"
"02.01.2024 18:45 - 02.01.2024 19:00","47.58","EUR"
"02.01.2024 19:00 - 02.01.2024 19:15","104.93","EUR"
"02.01.2024 19:15 - 02.01.2024 19:30","100.35","EUR"
"02.01.2024 19:30 - 02.01.2024 19:45","45.07","EUR"
"02.01.2024 19:45 - 02.01.2024 20:00","40.02","EUR"
"02.01.2024 20:00 - 02.01.2024 20:15","129.97","EUR"
"02.01.2024 20:15 - 02.01.2024 20:30","97.48","EUR"
"02.01.2024 20:30 - 02.01.2024 20:45","44.56","EUR"
"02.01.2024 20:45 - 02.01.2024 21:00","30.08","EUR"
"02.01.2024 21:00 - 02.01.2024 21:15","97.43","EUR"
"02.01.2024 21:15 - 02.01.2024 21:30","79.07","EUR"
"02.01.2024 21:30 - 02.01.2024 21:45","82.40","EUR"
"02.01.2024 21:45 - 02.01.2024 22:00","25.09","EUR"
"02.01.2024 22:00 - 02.01.2024 22:15","119.97","EUR"
"02.01.2024 22:15 - 02.01.2024 22:30","84.95","EUR"
"02.01.2024 22:30 - 02.01.2024 22:45","25.10","EUR"
"02.01.2024 22:45 - 02.01.2024 23:00","20.09","EUR"
"02.01.2024 23:00 - 02.01.2024 23:15","87.44","EUR"
"02.01.2024 23:15 - 02.01.2024 23:30","79.92","EUR"
"02.01.2024 23:30 - 02.01.2024 23:45","57.56","EUR"
"02.01.2024 23:45 - 03.01.2024 00:00","15.08","EUR"
"03.01.2024 00:00 - 03.01.2024 00:15","44.91","EUR"
"03.01.2024 00:15 - 03.01.2024 00:30","0.08","EUR"
"03.01.2024 00:30 - 03.01.2024 00:45","-0.06","EUR"
"03.01.2024 00:45 - 03.01.2024 01:00","-22.28","EUR"
"03.01.2024 01:00 - 03.01.2024 01:15","14.43","EUR"
"03.01.2024 01:15 - 03.01.2024 01:30","-0.02","EUR"
"03.01.2024 01:30 - 03.01.2024 01:45","-0.07","EUR"
"03.01.2024 01:45 - 03.01.2024 02:00","-0.08","EUR"
"03.01.2024 02:00 - 03.01.2024 02:15","2.09","EUR"
"03.01.2024 02:15 - 03.01.2024 02:30","-0.03","EUR"
"03.01.2024 02:30 - 03.01.2024 02:45","-0.03","EUR"
"03.01.2024 02:45 - 03.01.2024 03:00","-0.06","EUR"
"03.01.2024 03:00 - 03.01.2024 03:15","-0.04","EUR"
"03.01.2024 03:15 - 03.01.2024 03:30","-0.07","EUR"
"03.01.2024 03:30 - 03.01.2024 03:45","-0.07","EUR"
"03.01.2024 03:45 - 03.01.2024 04:00","-0.06","EUR"
"03.01.2024 04:00 - 03.01.2024 04:15","-0.08","EUR"
"03.01.2024 04:15 - 03.01.2024 04:30","-17.30","EUR"
"03.01.2024 04:30 - 03.01.2024 04:45","-0.02","EUR"
"03.01.2024 04:45 - 03.01.2024 05:00","19.92","EUR"
"03.01.2024 05:00 - 03.01.2024 05:15","-24.98","EUR"
"03.01.2024 05:15 - 03.01.2024 05:30","-17.46","EUR"
"03.01.2024 05:30 - 03.01.2024 05:45","16.50","EUR"
"03.01.2024 05:45 - 03.01.2024 06:00","57.42","EUR"
"03.01.2024 06:00 - 03.01.2024 06:15","-29.92","EUR"
"03.01.2024 06:15 - 03.01.2024 06:30","-0.09","EUR"
"03.01.2024 06:30 - 03.01.2024 06:45","26.37","EUR"
"03.01.2024 06:45 - 03.01.2024 07:00","69.91","EUR"
"03.01.2024 07:00 - 03.01.2024 07:15","6.68","EUR"
"03.01.2024 07:15 - 03.01.2024 07:30","5.10","EUR"
"03.01.2024 07:30 - 03.01.2024 07:45","59.91","EUR"
"03.01.2024 07:45 - 03.01.2024 08:00","82.44","EUR"
"03.01.2024 08:00 - 03.01.2024 08:15","34.29","EUR"
"03.01.2024 08:15 - 03.01.2024 08:30","57.41","EUR"
"03.01.2024 08:30 - 03.01.2024 08:45","62.42","EUR"
"03.01.2024 08:45 - 03.01.2024 09:00","62.43","EUR"
"03.01.2024 09:00 - 03.01.2024 09:15","50.09","EUR"
"03.01.2024 09:15 - 03.01.2024 09:30","54.22","EUR"
"03.01.2024 09:30 - 03.01.2024 09:45","54.91","EUR"
"03.01.2024 09:45 - 03.01.2024 10:00","52.43","EUR"
"03.01.2024 10:00 - 03.01.2024 10:15","54.90","EUR"
"03.01.2024 10:15 - 03.01.2024 10:30","38.47","EUR"
"03.01.2024 10:30 - 03.01.2024 10:45","42.91","EUR"
"03.01.2024 10:45 - 03.01.2024 11:00","54.90","EUR"
"03.01.2024 11:00 - 03.01.2024 11:15","20.10","EUR"
"03.01.2024 11:15 - 03.01.2024 11:30","39.23","EUR"
"03.01.2024 11:30 - 03.01.2024 11:45","52.40","EUR"
"03.01.2024 11:45 - 03.01.2024 12:00","52.40","EUR"
"03.01.2024 12:00 - 03.01.2024 12:15","52.41","EUR"
"03.01.2024 12:15 - 03.01.2024 12:30","49.90","EUR"
"03.01.2024 12:30 - 03.01.2024 12:45","29.34","EUR"
"03.01.2024 12:45 - 03.01.2024 13:00","20.10","EUR"
"03.01.2024 13:00 - 03.01.2024 13:15","49.92","EUR"
"03.01.2024 13:15 - 03.01.2024 13:30","52.41","EUR"
"03.01.2024 13:30 - 03.01.2024 13:45","37.47","EUR"
"03.01.2024 13:45 - 03.01.2024 14:00","25.10","EUR"
"03.01.2024 14:00 - 03.01.2024 14:15","42.41","EUR"
"03.01.2024 14:15 - 03.01.2024 14:30","39.18","EUR"
"03.01.2024 14:30 - 03.01.2024 14:45","30.10","EUR"
"03.01.2024 14:45 - 03.01.2024 15:00","55.21","EUR"
"03.01.2024 15:00 - 03.01.2024 15:15","44.91","EUR"
"03.01.2024 15:15 - 03.01.2024 15:30","61.11","EUR"
"03.01.2024 15:30 - 03.01.2024 15:45","62.21","EUR"
"03.01.2024 15:45 - 03.01.2024 16:00","55.10","EUR"
"03.01.2024 16:00 - 03.01.2024 16:15","59.06","EUR"
"03.01.2024 16:15 - 03.01.2024 16:30","40.10","EUR"
"03.01.2024 16:30 - 03.01.2024 16:45","84.90","EUR"
