"Time (CET/CEST)","France (FR) > Spain (ES) [MW]","Spain (ES) > France (FR) [MW]"
"04.01.2024 01:00 - 04.01.2024 01:15","2805","0"
"04.01.2024 01:15 - 04.01.2024 01:30","2724","0"
"04.01.2024 01:30 - 04.01.2024 01:45","2714","0"
"04.01.2024 01:45 - 04.01.2024 02:00","2766","0"
"04.01.2024 02:00 - 04.01.2024 02:15","2805","0"
"04.01.2024 02:15 - 04.01.2024 02:30","2834","0"
"04.01.2024 02:30 - 04.01.2024 02:45","2827","0"
"04.01.2024 02:45 - 04.01.2024 03:00","2733","0"
"04.01.2024 03:00 - 04.01.2024 03:15","2686","0"
"04.01.2024 03:15 - 04.01.2024 03:30","2777","0"
"04.01.2024 03:30 - 04.01.2024 03:45","2818","0"
"04.01.2024 03:45 - 04.01.2024 04:00","2742","0"
"04.01.2024 04:00 - 04.01.2024 04:15","2796","0"
"04.01.2024 04:15 - 04.01.2024 04:30","3311","0"
"04.01.2024 04:30 - 04.01.2024 04:45","3453","0"
"04.01.2024 04:45 - 04.01.2024 05:00","3451","0"
"04.01.2024 05:00 - 04.01.2024 05:15","3504","0"
"04.01.2024 05:15 - 04.01.2024 05:30","3246","0"
"04.01.2024 05:30 - 04.01.2024 05:45","3000","0"
"04.01.2024 05:45 - 04.01.2024 06:00","2977","0"
"04.01.2024 06:00 - 04.01.2024 06:15","3108","0"
"04.01.2024 06:15 - 04.01.2024 06:30","3543","0"
"04.01.2024 06:30 - 04.01.2024 06:45","3343","0"
"04.01.2024 06:45 - 04.01.2024 07:00","3404","0"
"04.01.2024 07:00 - 04.01.2024 07:15","3316","0"
"04.01.2024 07:15 - 04.01.2024 07:30","2715","0"
"04.01.2024 07:30 - 04.01.2024 07:45","2481","0"
"04.01.2024 07:45 - 04.01.2024 08:00","2626","0"
"04.01.2024 08:00 - 04.01.2024 08:15","2536","0"
"04.01.2024 08:15 - 04.01.2024 08:30","2532","0"
"04.01.2024 08:30 - 04.01.2024 08:45","2527","0"
"04.01.2024 08:45 - 04.01.2024 09:00","2409","0"
"04.01.2024 09:00 - 04.01.2024 09:15","2258","0"
"04.01.2024 09:15 - 04.01.2024 09:30","2477","0"
"04.01.2024 09:30 - 04.01.2024 09:45","2685","0"
"04.01.2024 09:45 - 04.01.2024 10:00","2422","0"
"04.01.2024 10:00 - 04.01.2024 10:15","2486","0"
"04.01.2024 10:15 - 04.01.2024 10:30","3345","0"
"04.01.2024 10:30 - 04.01.2024 10:45","3364","0"
"04.01.2024 10:45 - 04.01.2024 11:00","3330","0"
"04.01.2024 11:00 - 04.01.2024 11:15","3388","0"
"04.01.2024 11:15 - 04.01.2024 11:30","3445","0"
"04.01.2024 11:30 - 04.01.2024 11:45","3419","0"
"04.01.2024 11:45 - 04.01.2024 12:00","3562","0"
"04.01.2024 12:00 - 04.01.2024 12:15","3627","0"
"04.01.2024 12:15 - 04.01.2024 12:30","3325","0"
"04.01.2024 12:30 - 04.01.2024 12:45","3376","0"
"04.01.2024 12:45 - 04.01.2024 13:00","3503","0"
"04.01.2024 13:00 - 04.01.2024 13:15","3628","0"
"04.01.2024 13:15 - 04.01.2024 13:30","3872","0"
"04.01.2024 13:30 - 04.01.2024 13:45","3616","0"
"04.01.2024 13:45 - 04.01.2024 14:00","3628","0"
"04.01.2024 14:00 - 04.01.2024 14:15","3435","0"
"04.01.2024 14:15 - 04.01.2024 14:30","2695","0"
"04.01.2024 14:30 - 04.01.2024 14:45","2798","0"
"04.01.2024 14:45 - 04.01.2024 15:00","2808","0"
"04.01.2024 15:00 - 04.01.2024 15:15","2780","0"
"04.01.2024 15:15 - 04.01.2024 15:30","1910","0"
"04.01.2024 15:30 - 04.01.2024 15:45","1464","0"
"04.01.2024 15:45 - 04.01.2024 16:00","1330","0"
"04.01.2024 16:00 - 04.01.2024 16:15","1629","0"
"04.01.2024 16:15 - 04.01.2024 16:30","2094","0"
"04.01.2024 16:30 - 04.01.2024 16:45","2159","0"
"04.01.2024 16:45 - 04.01.2024 17:00","2166","0"
"04.01.2024 17:00 - 04.01.2024 17:15","2318","0"
"04.01.2024 17:15 - 04.01.2024 17:30","2784","0"
"04.01.2024 17:30 - 04.01.2024 17:45","3094","0"
"04.01.2024 17:45 - 04.01.2024 18:00","3076","0"
"04.01.2024 18:00 - 04.01.2024 18:15","3114","0"
"04.01.2024 18:15 - 04.01.2024 18:30","3142","0"
"04.01.2024 18:30 - 04.01.2024 18:45","3381","0"
"04.01.2024 18:45 - 04.01.2024 19:00","3339","0"
"04.01.2024 19:00 - 04.01.2024 19:15","3185","0"
"04.01.2024 19:15 - 04.01.2024 19:30","3051","0"
"04.01.2024 19:30 - 04.01.2024 19:45","3116","0"
"04.01.2024 19:45 - 04.01.2024 20:00","3199","0"
"04.01.2024 20:00 - 04.01.2024 20:15","3345","0"
"04.01.2024 20:15 - 04.01.2024 20:30","3303","0"
"04.01.2024 20:30 - 04.01.2024 20:45","3323","0"
"04.01.2024 20:45 - 04.01.2024 21:00","3040","0"
"04.01.2024 21:00 - 04.01.2024 21:15","3177","0"
"04.01.2024 21:15 - 04.01.2024 21:30","3092","0"
"04.01.2024 21:30 - 04.01.2024 21:45","3224","0"
"04.01.2024 21:45 - 04.01.2024 22:00","3286","0"
"04.01.2024 22:00 - 04.01.2024 22:15","3303","0"
"04.01.2024 22:15 - 04.01.2024 22:30","2909","0"
"04.01.2024 22:30 - 04.01.2024 22:45","3271","0"
"04.01.2024 22:45 - 04.01.2024 23:00","3035","0"
"04.01.2024 23:00 - 04.01.2024 23:15","3024","0"
"04.01.2024 23:15 - 04.01.2024 23:30","3313","0"
"04.01.2024 23:30 - 04.01.2024 23:45","3245","0"
"04.01.2024 23:45 - 05.01.2024 00:00","3075","0"
"05.01.2024 00:00 - 05.01.2024 00:15","3235","0"
"05.01.2024 00:15 - 05.01.2024 00:30","2585","0"
"05.01.2024 00:30 - 05.01.2024 00:45","2469","0"
"05.01.2024 00:45 - 05.01.2024 01:00","2280","0"
"05.01.2024 01:00 - 05.01.2024 01:15","2388","0"
"05.01.2024 01:15 - 05.01.2024 01:30","1450","0"
"05.01.2024 01:30 - 05.01.2024 01:45","1321","0"
"05.01.2024 01:45 - 05.01.2024 02:00","1668","0"
"05.01.2024 02:00 - 05.01.2024 02:15","1732","0"
"05.01.2024 02:15 - 05.01.2024 02:30","827","0"
"05.01.2024 02:30 - 05.01.2024 02:45","557","0"
"05.01.2024 02:45 - 05.01.2024 03:00","647","0"
"05.01.2024 03:00 - 05.01.2024 03:15","668","0"
"05.01.2024 03:15 - 05.01.2024 03:30","992","0"
"05.01.2024 03:30 - 05.01.2024 03:45","1084","0"
"05.01.2024 03:45 - 05.01.2024 04:00","965","0"
"05.01.2024 04:00 - 05.01.2024 04:15","1177","0"
"05.01.2024 04:15 - 05.01.2024 04:30","1432","0"
"05.01.2024 04:30 - 05.01.2024 04:45","1342","0"
"05.01.2024 04:45 - 05.01.2024 05:00","1156","0"
"05.01.2024 05:00 - 05.01.2024 05:15","1033","0"
"05.01.2024 05:15 - 05.01.2024 05:30","0","727"
"05.01.2024 05:30 - 05.01.2024 05:45","0","1132"
"05.01.2024 05:45 - 05.01.2024 06:00","0","1241"
"05.01.2024 06:00 - 05.01.2024 06:15","0","1410"
"05.01.2024 06:15 - 05.01.2024 06:30","0","1757"
"05.01.2024 06:30 - 05.01.2024 06:45","0","2010"
"05.01.2024 06:45 - 05.01.2024 07:00","0","2068"
"05.01.2024 07:00 - 05.01.2024 07:15","0","2212"
"05.01.2024 07:15 - 05.01.2024 07:30","0","1867"
"05.01.2024 07:30 - 05.01.2024 07:45","0","1710"
"05.01.2024 07:45 - 05.01.2024 08:00","0","1850"
"05.01.2024 08:00 - 05.01.2024 08:15","0","1607"
"05.01.2024 08:15 - 05.01.2024 08:30","0","1528"
"05.01.2024 08:30 - 05.01.2024 08:45","0","1538"
"05.01.2024 08:45 - 05.01.2024 09:00","0","1514"
"05.01.2024 09:00 - 05.01.2024 09:15","0","1618"
"05.01.2024 09:15 - 05.01.2024 09:30","0","2179"
"05.01.2024 09:30 - 05.01.2024 09:45","0","2541"
"05.01.2024 09:45 - 05.01.2024 10:00","0","2659"
"05.01.2024 10:00 - 05.01.2024 10:15","0","2635"
"05.01.2024 10:15 - 05.01.2024 10:30","0","2773"
"05.01.2024 10:30 - 05.01.2024 10:45","0","2807"
"05.01.2024 10:45 - 05.01.2024 11:00","0","2746"
"05.01.2024 11:00 - 05.01.2024 11:15","0","2708"
"05.01.2024 11:15 - 05.01.2024 11:30","0","2266"
"05.01.2024 11:30 - 05.01.2024 11:45","0","2730"
"05.01.2024 11:45 - 05.01.2024 12:00","0","2865"
"05.01.2024 12:00 - 05.01.2024 12:15","0","2845"
"05.01.2024 12:15 - 05.01.2024 12:30","0","2924"
"05.01.2024 12:30 - 05.01.2024 12:45","0","2981"
"05.01.2024 12:45 - 05.01.2024 13:00","0","2860"
"05.01.2024 13:00 - 05.01.2024 13:15","0","2958"
"05.01.2024 13:15 - 05.01.2024 13:30","0","2626"
"05.01.2024 13:30 - 05.01.2024 13:45","0","2808"
"05.01.2024 13:45 - 05.01.2024 14:00","0","2961"
"05.01.2024 14:00 - 05.01.2024 14:15","0","2843"
"05.01.2024 14:15 - 05.01.2024 14:30","0","2868"
"05.01.2024 14:30 - 05.01.2024 14:45","0","2928"
"05.01.2024 14:45 - 05.01.2024 15:00","0","2945"
"05.01.2024 15:00 - 05.01.2024 15:15","0","2791"
"05.01.2024 15:15 - 05.01.2024 15:30","0","2574"
